,MainLSTMlayers,MainLSTMNodes,MainLSTMDropout,FinalLSTMNodes,FinalLSTMDropout,FinalDenseNodes,FinalDenseDropout,LearningRate,Decay,Val_acc,Training_acc
"(2, 32, 0.15, 32, 0.15, 64, 0.3, 0.001, 3e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.3,0.001,3e-06,0.5151116847991943,0.6780279874801636
"(2, 32, 0.15, 32, 0.15, 64, 0.3, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.3,0.003,1e-07,0.5216820240020752,0.717589795589447
"(2, 32, 0.15, 32, 0.15, 64, 0.3, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.3,0.003,3e-07,0.463863343000412,0.6956786513328552
"(2, 32, 0.15, 32, 0.15, 64, 0.3, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.3,0.003,1e-06,0.4940867424011231,0.7151551842689514
"(2, 32, 0.15, 32, 0.15, 64, 0.3, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.3,0.003,3e-06,0.5308803915977478,0.7139379382133484
"(2, 32, 0.15, 32, 0.15, 128, 0.15, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.15,0.0001,1e-07,0.4822601974010468,0.6250760555267334
"(2, 32, 0.15, 32, 0.15, 128, 0.15, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.15,0.0001,3e-07,0.5098554491996765,0.5830797553062439
"(2, 32, 0.15, 32, 0.15, 128, 0.15, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.15,0.0001,1e-06,0.5085414052009583,0.5916007161140442
"(2, 32, 0.15, 32, 0.15, 128, 0.15, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.15,0.0001,3e-06,0.5098554491996765,0.5855143070220947
"(2, 32, 0.15, 32, 0.15, 128, 0.15, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.15,0.0003,1e-07,0.4980289041996002,0.7090687751770021
"(2, 32, 0.15, 32, 0.15, 128, 0.15, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.15,0.0003,3e-07,0.4796320497989655,0.6810712218284607
"(2, 32, 0.15, 32, 0.15, 128, 0.15, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.15,0.0003,1e-06,0.4901445508003235,0.6926354169845581
"(2, 32, 0.15, 32, 0.15, 128, 0.15, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.15,0.0003,3e-06,0.5479632019996643,0.689592182636261
"(2, 32, 0.15, 32, 0.15, 128, 0.15, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.15,0.001,1e-07,0.5374507308006287,0.7516737580299377
"(2, 32, 0.15, 32, 0.15, 128, 0.15, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.15,128.0,0.15,0.001,3e-07,0.4862023591995239,0.7480219006538391
"(2, 32, 0.15, 32, 0.15, 128, 0.15, 0.001, 1e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.15,0.001,1e-06,0.5059132575988771,0.7419354915618896
"(2, 32, 0.15, 32, 0.15, 128, 0.15, 0.001, 3e-06)",2.0,32.0,0.15,32.0,0.15,128.0,0.15,0.001,3e-06,0.4664914608001709,0.7528910636901855
